"candidate_number","block_A00","block_A01","block_B00","block_C00","block_D01"
"19016348",-1.00,-1.00,-1.00,19.25,-1.00
"19016349",21.55,18.10,20.80,-1.00,18.35
"19016350",24.55,21.00,21.55,-1.00,22.25
"19016351",23.70,21.95,20.95,-1.00,21.45
"19016352",24.70,21.45,22.20,-1.00,21.20
"19016353",23.55,23.25,21.05,-1.00,23.75
"19016354",21.85,25.45,21.10,-1.00,25.95
"19016355",-1.00,-1.00,-1.00,20.00,-1.00
"19016356",-1.00,-1.00,-1.00,24.75,-1.00
"19016357",-1.00,-1.00,-1.00,26.75,25.30
"19016358",-1.00,-1.00,-1.00,20.00,-1.00
"19016359",-1.00,-1.00,-1.00,21.75,-1.00
"19016360",-1.00,-1.00,-1.00,25.25,25.55
"19016361",26.15,25.10,26.40,-1.00,25.85
"19016362",23.35,22.65,20.85,-1.00,21.40
"19016363",25.70,24.15,24.20,-1.00,23.90
"19016364",26.90,25.85,25.90,-1.00,26.35
"19016365",23.65,23.40,23.40,-1.00,24.40
"19016366",24.65,21.60,21.90,-1.00,22.60
"19016367",-1.00,-1.00,-1.00,24.50,24.05
"19016368",-1.00,-1.00,-1.00,23.00,23.55
"19016369",-1.00,-1.00,-1.00,26.50,-1.00
"19016370",-1.00,-1.00,-1.00,29.50,24.95
"19016371",-1.00,-1.00,-1.00,23.50,-1.00
"19016372",-1.00,-1.00,-1.00,23.50,19.95
"19016373",23.35,22.05,19.60,-1.00,22.30
"19016374",27.40,24.40,26.15,-1.00,24.40
"19016375",-1.00,-1.00,-1.00,26.50,24.70
"19016376",23.35,20.55,25.60,-1.00,22.05
"19016377",-1.00,-1.00,-1.00,23.00,-1.00
"19016378",-1.00,-1.00,-1.00,25.25,21.15
"19016379",-1.00,-1.00,-1.00,17.00,17.35
"19016380",25.05,19.75,22.80,-1.00,18.50
"19016381",-1.00,-1.00,-1.00,14.75,17.10
"19016382",22.85,21.05,22.10,-1.00,21.30
"19016383",25.05,20.65,24.05,-1.00,20.65
"19016384",-1.00,-1.00,-1.00,22.00,18.90
"19016385",-1.00,-1.00,-1.00,26.25,-1.00
"19016386",-1.00,-1.00,-1.00,25.00,23.55
"19016387",19.75,16.20,21.00,-1.00,19.95
"19016388",25.55,21.55,23.05,-1.00,21.80
"19016389",-1.00,-1.00,-1.00,16.00,13.25
"19016390",-1.00,-1.00,-1.00,26.00,25.40
"19016391",23.45,23.75,21.70,-1.00,25.00
"19016392",-1.00,-1.00,-1.00,23.25,20.55
"19016393",-1.00,-1.00,-1.00,13.50,-1.00
"19016394",-1.00,-1.00,-1.00,28.75,23.70
"19016395",-1.00,-1.00,-1.00,27.75,26.35
"19016396",-1.00,-1.00,-1.00,21.75,-1.00
"19016397",-1.00,-1.00,-1.00,26.50,22.10
"19016398",-1.00,-1.00,-1.00,15.00,-1.00
"19016399",-1.00,-1.00,-1.00,19.00,-1.00
"19016400",19.80,18.60,20.55,-1.00,21.60
"19016401",-1.00,-1.00,-1.00,15.50,-1.00
"19016402",24.10,21.20,23.60,-1.00,21.95
"19016403",20.75,21.25,20.00,-1.00,23.50
"19016404",25.20,25.55,22.45,-1.00,26.05
"19016405",26.25,22.75,23.50,-1.00,23.50
"19016406",-1.00,-1.00,-1.00,21.50,21.65
"19016407",-1.00,-1.00,-1.00,27.50,24.30
"19016408",-1.00,-1.00,-1.00,28.25,26.60
"19016409",-1.00,-1.00,-1.00,21.25,18.90
"19016410",26.50,27.45,25.25,-1.00,26.95
"19016411",-1.00,-1.00,-1.00,23.50,21.95
"19016412",-1.00,-1.00,-1.00,24.50,20.10
"19016413",-1.00,-1.00,-1.00,28.50,26.70
"19016414",-1.00,-1.00,-1.00,23.00,-1.00
"19016415",21.60,18.35,24.60,-1.00,22.10
"19016416",20.45,19.10,20.70,-1.00,20.35
"19016417",23.75,21.20,22.00,-1.00,20.45
"19016418",22.40,19.45,22.90,-1.00,20.20
"19016419",-1.00,-1.00,-1.00,23.00,21.75
"19016420",-1.00,-1.00,-1.00,26.50,23.70
"19016421",-1.00,-1.00,-1.00,25.50,26.55
"19016422",-1.00,-1.00,-1.00,26.00,26.15
"19016423",22.35,21.00,23.10,-1.00,23.50
"19016424",-1.00,-1.00,-1.00,22.00,-1.00
"19016425",21.55,21.10,20.55,-1.00,22.85
"19016426",-1.00,-1.00,-1.00,28.00,23.75
"19016427",-1.00,-1.00,-1.00,25.00,26.50
"19016428",24.95,22.35,22.20,-1.00,21.10
"19016429",-1.00,-1.00,-1.00,23.25,22.30
"19016430",25.00,27.90,20.75,-1.00,25.65
"19016431",24.50,24.95,22.50,-1.00,24.70
"19016432",-1.00,-1.00,-1.00,-1.00,-1.00
"19016433",-1.00,-1.00,-1.00,23.00,27.15
"19016434",-1.00,-1.00,-1.00,-1.00,-1.00
"19016435",19.95,18.35,18.95,-1.00,19.85
"19016436",21.00,16.15,19.50,-1.00,17.15
"19016437",-1.00,-1.00,-1.00,20.50,18.70
"19016438",23.40,21.55,24.90,-1.00,23.30
"19016439",-1.00,-1.00,-1.00,24.00,23.80
"19016440",-1.00,-1.00,-1.00,24.50,27.50
"19016441",20.25,18.85,22.00,-1.00,20.85
"19016442",24.85,22.25,23.35,-1.00,22.00
"19016443",-1.00,-1.00,-1.00,19.50,17.05
"19016444",-1.00,-1.00,-1.00,18.75,18.60
"19016445",-1.00,-1.00,-1.00,15.50,12.30
"19016446",23.00,18.90,21.25,-1.00,19.90
"19016447",23.60,24.15,22.10,-1.00,25.40
"19016448",-1.00,-1.00,-1.00,24.75,24.45
"19016449",-1.00,-1.00,-1.00,16.00,13.40
"19016450",-1.00,-1.00,-1.00,17.50,17.85
"19016451",-1.00,-1.00,-1.00,20.00,15.80
"19016452",24.45,21.20,23.95,-1.00,20.70
"19016453",-1.00,-1.00,-1.00,19.75,17.85
"19016454",22.50,20.25,22.00,-1.00,20.75
"19016455",-1.00,-1.00,-1.00,18.50,-1.00
"19016456",-1.00,-1.00,-1.00,27.50,20.35
"19016457",-1.00,-1.00,-1.00,25.50,21.45
"19016458",23.05,21.05,22.05,-1.00,21.80
"19016459",-1.00,-1.00,-1.00,21.75,18.30
"19016460",21.35,22.75,20.35,-1.00,24.00
"19016461",-1.00,-1.00,-1.00,20.75,14.70
"19016462",-1.00,-1.00,-1.00,19.75,16.50
"19016463",-1.00,-1.00,-1.00,20.75,-1.00
"19016464",19.05,19.20,19.55,-1.00,20.95
"19016465",-1.00,-1.00,-1.00,18.25,14.70
"19016466",-1.00,-1.00,-1.00,20.75,18.35
"19016467",-1.00,-1.00,-1.00,20.50,16.55
"19016468",-1.00,-1.00,-1.00,24.00,22.25
"19016469",20.45,20.05,20.70,-1.00,21.30
"19016470",-1.00,-1.00,-1.00,27.75,-1.00
"19016471",-1.00,-1.00,-1.00,16.75,-1.00
"19016472",-1.00,-1.00,-1.00,22.25,21.30
"19016473",21.05,19.10,22.80,-1.00,21.85
"19016474",-1.00,-1.00,-1.00,23.00,18.90
"19016475",-1.00,-1.00,-1.00,24.00,22.75
"19016476",23.25,21.50,23.00,-1.00,22.25
"19016477",-1.00,-1.00,-1.00,24.00,20.15
"19016478",-1.00,-1.00,-1.00,14.50,-1.00
"19016479",-1.00,-1.00,-1.00,27.00,25.75
"19016480",-1.00,-1.00,-1.00,17.75,16.00
"19016481",-1.00,-1.00,-1.00,18.75,18.60
"19016482",-1.00,-1.00,-1.00,22.25,17.10
"19016483",23.15,20.60,22.40,-1.00,19.60
"19016484",19.95,15.35,20.20,-1.00,16.10
"19016485",21.60,-1.00,20.85,-1.00,-1.00
"19016486",21.20,19.00,21.20,-1.00,20.00
"19016487",-1.00,-1.00,-1.00,26.00,21.85
"19016488",-1.00,-1.00,-1.00,19.50,15.15
"19016489",-1.00,-1.00,-1.00,22.25,19.15
"19016490",-1.00,-1.00,-1.00,23.75,21.35
"19016491",-1.00,-1.00,-1.00,28.50,20.65
"19016492",-1.00,-1.00,-1.00,24.00,-1.00
"19016493",-1.00,-1.00,-1.00,18.50,-1.00
"19016494",-1.00,-1.00,-1.00,20.75,-1.00
"19016495",-1.00,-1.00,-1.00,19.00,-1.00
"19016496",-1.00,-1.00,-1.00,20.75,17.30
"19016497",-1.00,-1.00,-1.00,21.00,18.80
"19016498",-1.00,-1.00,-1.00,21.00,20.40
"19016499",21.60,18.50,21.85,-1.00,20.00
"19016500",-1.00,-1.00,-1.00,23.25,21.30
"19016501",-1.00,-1.00,-1.00,24.75,25.75
"19016502",-1.00,-1.00,-1.00,25.75,22.90
"19016503",26.25,25.10,26.25,-1.00,27.10
"19016504",-1.00,-1.00,-1.00,22.25,17.70
"19016505",-1.00,-1.00,-1.00,19.75,16.25
"19016506",20.05,17.45,19.30,-1.00,18.45
"19016507",24.05,20.05,23.05,-1.00,19.05
"19016508",-1.00,-1.00,-1.00,23.00,20.10
"19016509",-1.00,-1.00,-1.00,28.75,26.70
"19016510",24.80,25.30,22.55,-1.00,24.55
"19016511",-1.00,-1.00,-1.00,23.75,19.75
"19016512",16.75,13.90,15.25,-1.00,16.40
"19016513",-1.00,-1.00,-1.00,22.00,18.65
"19016514",24.05,19.85,22.80,-1.00,21.10
"19016515",-1.00,-1.00,-1.00,18.50,18.05
"19016516",22.65,20.25,22.90,-1.00,21.00
"19016517",25.20,23.55,23.45,-1.00,23.05
"19016518",20.25,22.00,17.75,-1.00,21.75
"19016519",-1.00,-1.00,-1.00,14.25,-1.00
"19016520",23.90,20.25,20.40,-1.00,18.50
"19016521",-1.00,-1.00,-1.00,16.00,-1.00
"19016522",-1.00,-1.00,-1.00,18.25,13.95
"19016523",17.95,17.90,17.95,-1.00,21.90
"19016524",-1.00,-1.00,-1.00,9.50,-1.00
"19016525",19.75,19.40,20.00,-1.00,21.40
"19016526",20.25,24.75,17.25,-1.00,23.00
"19016527",-1.00,-1.00,-1.00,17.25,-1.00
"19016528",-1.00,-1.00,-1.00,21.75,21.20
"19016529",-1.00,-1.00,-1.00,20.25,17.70
"19016530",-1.00,-1.00,-1.00,12.25,-1.00
"19016531",-1.00,-1.00,-1.00,17.75,17.30
"19016532",-1.00,-1.00,-1.00,18.00,17.15
"19016533",-1.00,-1.00,-1.00,17.00,-1.00
"19016534",-1.00,-1.00,-1.00,10.00,-1.00
"19016535",-1.00,-1.00,-1.00,19.00,18.80
"19016536",-1.00,-1.00,-1.00,17.00,15.65
"19016537",-1.00,-1.00,-1.00,18.00,-1.00
"19016538",-1.00,-1.00,-1.00,14.50,-1.00
"19016539",20.80,-1.00,21.30,-1.00,-1.00
"19016540",24.65,23.25,23.40,-1.00,22.75
"19016541",-1.00,-1.00,-1.00,21.25,19.95
"19016542",-1.00,-1.00,-1.00,21.25,19.95
"19016543",-1.00,-1.00,-1.00,12.75,16.35
"19016544",-1.00,-1.00,-1.00,17.00,-1.00
"19016545",-1.00,-1.00,-1.00,22.00,20.55
"19016546",-1.00,-1.00,-1.00,26.00,24.50
"19016547",-1.00,-1.00,-1.00,22.25,21.00
"19016548",-1.00,-1.00,-1.00,16.00,-1.00
"19016549",-1.00,-1.00,-1.00,16.25,-1.00
"19016550",-1.00,-1.00,-1.00,20.00,18.50
"19016551",24.10,21.85,20.35,-1.00,20.60
"19016552",23.50,19.80,24.50,-1.00,19.80
"19016553",-1.00,-1.00,-1.00,18.00,-1.00
"19016554",-1.00,-1.00,-1.00,17.00,-1.00
"19016555",-1.00,-1.00,-1.00,15.25,-1.00
"19016556",22.70,21.35,22.20,-1.00,21.85
"19016557",-1.00,-1.00,-1.00,23.75,20.65
"19016558",24.30,22.20,23.80,-1.00,23.70
"19016559",-1.00,-1.00,-1.00,18.00,17.00
"19016560",21.00,19.65,21.25,-1.00,21.15
"19016561",24.20,20.70,22.20,-1.00,21.70
"19016562",-1.00,-1.00,-1.00,21.25,20.90
"19016563",26.85,22.20,25.60,-1.00,22.45
"19016564",-1.00,-1.00,-1.00,20.25,18.15
"19016565",26.80,25.45,24.80,-1.00,25.20
"19016566",-1.00,26.45,-1.00,-1.00,-1.00
"19016567",17.10,14.00,18.35,-1.00,17.50
"19016568",-1.00,-1.00,-1.00,21.50,19.80
"19016569",-1.00,-1.00,-1.00,24.50,22.05
"19016570",20.50,15.80,20.25,-1.00,17.05
"19016571",-1.00,-1.00,-1.00,23.75,-1.00
"19016572",22.65,20.60,21.65,-1.00,21.35
"19016573",-1.00,-1.00,-1.00,16.25,15.10
"19016574",20.60,16.35,17.85,-1.00,15.85
"19016575",17.30,14.85,18.55,-1.00,17.85
"19016576",-1.00,-1.00,-1.00,24.50,17.50
"19016577",-1.00,-1.00,-1.00,24.75,19.50
"19016578",-1.00,-1.00,-1.00,27.50,24.50
"19016579",21.05,-1.00,15.80,-1.00,-1.00
"19016580",-1.00,-1.00,-1.00,25.75,18.85
"19016581",-1.00,-1.00,-1.00,23.50,21.55
"19016582",-1.00,-1.00,-1.00,26.00,22.50
"19016583",18.50,18.30,20.25,-1.00,21.55
"19016584",-1.00,-1.00,-1.00,25.50,25.35
"19016585",-1.00,-1.00,-1.00,22.75,18.25
"19016586",-1.00,-1.00,-1.00,28.25,24.10
"19016587",22.90,22.65,23.40,-1.00,23.40
"19016588",21.70,22.50,22.20,-1.00,23.50
"19016589",-1.00,-1.00,-1.00,20.75,-1.00
"19016590",-1.00,-1.00,-1.00,22.25,20.25
"19016591",13.55,13.75,14.05,-1.00,17.00
"19016592",-1.00,-1.00,-1.00,22.00,-1.00
"19016593",-1.00,-1.00,-1.00,-1.00,20.50
"19016594",-1.00,-1.00,-1.00,22.25,18.10
"19016595",25.70,22.60,24.95,-1.00,23.35
"19016596",-1.00,-1.00,-1.00,25.75,27.15
"19016597",23.60,22.50,21.60,-1.00,21.00
"19016598",22.35,20.10,21.35,-1.00,20.10
"19016599",20.80,17.70,20.30,-1.00,19.95
"19016600",-1.00,-1.00,-1.00,27.25,26.50
"19016601",-1.00,-1.00,-1.00,22.25,-1.00
"19016602",21.50,23.05,18.75,-1.00,23.05
"19016603",-1.00,-1.00,-1.00,19.75,16.55
"19016604",-1.00,-1.00,-1.00,22.75,23.70
"19016605",-1.00,-1.00,-1.00,21.50,20.75
"19016606",22.30,24.60,21.30,-1.00,24.85
"19016607",23.45,25.15,22.70,-1.00,24.65
"19016608",-1.00,-1.00,-1.00,20.25,20.85
"19016609",25.30,21.90,23.30,-1.00,21.15
"19016610",-1.00,-1.00,-1.00,22.25,23.55
"19016611",-1.00,-1.00,-1.00,21.00,18.80
"19016612",-1.00,-1.00,-1.00,19.75,17.10
"19016613",-1.00,-1.00,-1.00,21.00,13.30
"19016614",24.90,21.70,22.40,-1.00,21.20
"19016615",29.35,26.95,27.60,-1.00,25.45
"19016616",-1.00,-1.00,-1.00,22.00,20.95
"19016617",-1.00,-1.00,-1.00,24.00,21.40
"19016618",-1.00,-1.00,-1.00,17.00,-1.00
"19016619",-1.00,-1.00,-1.00,23.50,20.70
"19016620",-1.00,-1.00,-1.00,25.25,-1.00
"19016621",-1.00,-1.00,-1.00,15.25,14.60
"19016622",-1.00,-1.00,-1.00,18.75,16.80
"19016623",-1.00,-1.00,-1.00,22.00,-1.00
"19016624",-1.00,-1.00,-1.00,24.25,19.75
"19016625",-1.00,-1.00,-1.00,22.50,15.85
"19016626",-1.00,-1.00,-1.00,23.50,23.00
"19016627",-1.00,-1.00,-1.00,24.50,21.75
"19016628",-1.00,-1.00,-1.00,24.25,22.90
"19016629",-1.00,-1.00,-1.00,22.75,20.50
"19016630",23.70,20.95,24.20,-1.00,21.45
"19016631",-1.00,-1.00,-1.00,24.25,23.70
"19016632",-1.00,-1.00,-1.00,18.75,16.55
"19016633",24.40,22.05,23.90,-1.00,22.55
"19016634",-1.00,-1.00,-1.00,18.25,-1.00
"19016635",22.70,25.30,20.45,-1.00,23.55
"19016636",25.05,23.35,24.30,-1.00,22.85
"19016637",25.45,22.30,23.20,-1.00,21.80
"19016638",-1.00,-1.00,-1.00,18.50,-1.00
"19016639",-1.00,-1.00,-1.00,19.50,18.30
"19016640",-1.00,-1.00,-1.00,12.75,15.90
"19016641",-1.00,-1.00,-1.00,20.25,-1.00
"19016642",20.05,21.35,23.55,-1.00,24.35
"19016643",19.65,23.25,18.15,-1.00,24.00
"19016644",20.50,17.60,19.00,-1.00,18.35
"19016645",23.60,24.45,22.35,-1.00,24.95
"19016646",19.50,22.70,17.25,-1.00,22.95
"19016647",-1.00,-1.00,-1.00,18.75,15.10
"19016648",-1.00,-1.00,-1.00,26.25,25.10
"19016649",-1.00,-1.00,-1.00,22.50,-1.00
"19016650",-1.00,-1.00,-1.00,21.00,-1.00
"19016651",-1.00,-1.00,-1.00,23.00,25.10
"19016652",19.40,16.90,19.65,-1.00,18.65
"19016653",-1.00,-1.00,-1.00,18.25,-1.00
"19016654",17.60,17.60,17.10,-1.00,17.85
"19016655",25.50,21.75,24.75,-1.00,20.50
"19016656",20.90,19.50,18.15,-1.00,19.25
"19016657",-1.00,-1.00,-1.00,22.00,20.70
"19016658",-1.00,-1.00,-1.00,27.00,26.45
"19016659",-1.00,-1.00,-1.00,26.25,-1.00
"19016660",-1.00,-1.00,-1.00,26.25,26.40
"19016661",-1.00,-1.00,-1.00,24.25,20.70
"19016662",23.50,21.35,21.25,-1.00,20.10
"19016663",-1.00,-1.00,-1.00,23.25,21.95
"19016664",27.90,25.55,26.15,-1.00,24.30
"19016665",-1.00,-1.00,-1.00,21.50,23.90
"19016666",23.25,22.20,22.75,-1.00,21.95
"19016667",21.70,17.10,20.95,-1.00,16.60
"19016668",20.50,16.70,19.00,-1.00,17.45
"19016669",-1.00,-1.00,-1.00,25.00,19.00
"19016670",-1.00,-1.00,-1.00,23.75,19.85
"19016672",22.75,18.80,24.25,-1.00,20.80
"19016673",23.30,19.80,25.05,-1.00,19.55
"19016674",22.40,18.45,22.65,-1.00,18.45
"19016675",26.05,23.65,24.05,-1.00,22.40
"19016676",-1.00,-1.00,-1.00,22.50,16.90
"19016677",25.15,20.55,24.65,-1.00,20.05
"19016678",-1.00,-1.00,-1.00,21.50,-1.00
"19016679",23.85,20.25,23.35,-1.00,20.75
"19016680",19.25,18.70,20.50,-1.00,21.70
"19016681",21.80,19.45,22.55,-1.00,21.45
"19016682",25.20,21.20,24.45,-1.00,21.70
"19016683",-1.00,-1.00,-1.00,26.50,22.55
"19016684",-1.00,-1.00,-1.00,23.75,18.40
"19016685",-1.00,-1.00,-1.00,24.00,22.30
"19016686",-1.00,-1.00,-1.00,21.25,15.55
"19016687",-1.00,-1.00,-1.00,20.00,-1.00
"19016688",-1.00,-1.00,-1.00,21.00,19.80
"19016689",-1.00,-1.00,-1.00,23.75,20.30
"19016690",24.75,22.35,24.25,-1.00,22.10
"19016691",-1.00,-1.00,-1.00,19.25,-1.00
"19016692",26.25,23.25,24.75,-1.00,22.00
"19016693",-1.00,-1.00,-1.00,21.00,18.60
"19016694",-1.00,-1.00,-1.00,12.50,-1.00
"19016695",-1.00,-1.00,-1.00,14.50,-1.00
"19016696",21.95,16.55,22.45,-1.00,17.55
"19016697",-1.00,-1.00,-1.00,22.00,19.35
"19016698",-1.00,-1.00,-1.00,20.50,17.25
"19016699",25.50,21.30,25.00,-1.00,21.80
"19016700",25.80,21.25,27.30,-1.00,21.75
"19016701",-1.00,-1.00,-1.00,19.50,-1.00
"19016702",-1.00,-1.00,-1.00,23.50,18.85
"19016703",-1.00,-1.00,-1.00,20.25,-1.00
"19016704",-1.00,-1.00,-1.00,25.50,19.60
"19016705",-1.00,-1.00,-1.00,24.00,-1.00
"19016706",23.70,20.50,21.95,-1.00,19.25
"19016707",-1.00,-1.00,-1.00,19.75,18.50
"19016708",26.35,22.90,25.35,-1.00,22.90
"19016709",-1.00,-1.00,-1.00,21.00,17.50
"19016710",-1.00,-1.00,-1.00,21.75,14.45
"19016711",-1.00,-1.00,-1.00,24.75,17.50
"19016712",-1.00,-1.00,-1.00,23.25,21.85
"19016713",-1.00,-1.00,-1.00,21.75,19.65
"19016714",22.70,18.20,22.45,-1.00,18.45
"19016715",21.00,24.30,20.75,-1.00,24.80
"19016716",-1.00,-1.00,-1.00,15.50,-1.00
"19016717",-1.00,-1.00,-1.00,26.50,24.35
"19016718",24.45,21.40,22.20,-1.00,22.65
"19016719",-1.00,-1.00,-1.00,14.75,-1.00
